SNP	marker	chr	pos_cM	pos_bp
1_30477282	M270	1	49	30477282
1_30672289	M271	1	49.2	30672289
1_30846816	M272	1	49.4	30846816
1_31084454	M273	1	49.6	31084454
1_31267033	M274	1	49.8	31267033
1_31467888	M275	1	50	31467888
1_31654020	M276	1	50.2	31654020
1_31849170	M277	1	50.4	31849170
1_32032680	M278	1	50.6	32032680
1_32190718	M279	1	50.8	32190718
1_32378881	M280	1	51	32378881
1_32572171	M281	1	51.2	32572171
1_32772909	M282	1	51.4	32772909
1_32935078	M283	1	51.6	32935078
1_33084739	M284	1	51.8	33084739
1_33185745	M285	1	52	33185745
1_33437309	M286	1	52.2	33437309
1_33739860	M288	1	52.6	33739860
1_33884176	M289	1	52.8	33884176
1_34024954	M290	1	53	34024954
1_34294336	M292	1	53.4	34294336
1_34521052	M293	1	53.6	34521052
1_34979309	M294	1	53.8	34979309
1_35290679	M295	1	54	35290679
1_36863002	M300	1	55	36863002
1_37211549	M301	1	55.2	37211549
1_37532544	M302	1	55.4	37532544
1_37839152	M303	1	55.6	37839152
1_38157508	M304	1	55.8	38157508
1_38480254	M305	1	56	38480254
1_38828331	M306	1	56.2	38828331
1_39006050	M307	1	56.4	39006050
1_39203688	M308	1	56.6	39203688
1_39371257	M309	1	56.8	39371257
1_39569121	M310	1	57	39569121
1_39831456	M311	1	57.2	39831456
1_39965698	M312	1	57.4	39965698
1_40252934	M313	1	57.6	40252934
1_40427649	M314	1	57.8	40427649
1_40641116	M315	1	58	40641116
1_40812711	M316	1	58.2	40812711
1_41057661	M317	1	58.4	41057661
1_41250708	M318	1	58.6	41250708
1_41457113	M319	1	58.8	41457113
1_42040735	M320	1	59	42040735
1_42519532	M321	1	59.2	42519532
1_43607078	M323	1	59.6	43607078
1_44153430	M325	1	60	44153430
1_44383651	M327	1	60.4	44383651
1_44560542	M328	1	60.6	44560542
1_44849996	M329	1	60.8	44849996
1_45124128	M330	1	61	45124128
1_45399092	M331	1	61.2	45399092
1_45726472	M332	1	61.4	45726472
1_45912806	M333	1	61.6	45912806
1_46102831	M334	1	61.8	46102831
1_46245096	M335	1	62	46245096
1_46561574	M336	1	62.2	46561574
1_46871774	M337	1	62.4	46871774
1_47188808	M338	1	62.6	47188808
1_47472084	M339	1	62.8	47472084
1_47791728	M340	1	63	47791728
1_48130796	M341	1	63.2	48130796
1_48856355	M343	1	63.6	48856355
1_49137457	M344	1	63.8	49137457
1_49435134	M345	1	64	49435134
1_50013905	M347	1	64.4	50013905
1_50375451	M348	1	64.6	50375451
1_50712118	M349	1	64.8	50712118
1_50992784	M350	1	65	50992784
1_51341046	M351	1	65.2	51341046
1_51560561	M352	1	65.4	51560561
1_51762895	M353	1	65.6	51762895
1_51840803	M354	1	65.8	51840803
1_52006728	M355	1	66	52006728
1_52139454	M356	1	66.2	52139454
1_52307480	M357	1	66.4	52307480
1_52471319	M358	1	66.6	52471319
1_52672349	M359	1	66.8	52672349
1_53805466	M365	1	68	53805466
1_53984825	M366	1	68.2	53984825
1_54157732	M367	1	68.4	54157732
1_54333922	M368	1	68.6	54333922
1_54494028	M369	1	68.8	54494028
1_55031548	M370	1	69	55031548
1_55700603	M371	1	69.2	55700603
1_56746333	M372	1	69.4	56746333
1_56952165	M373	1	69.6	56952165
1_57152317	M374	1	69.8	57152317
1_57371877	M375	1	70	57371877
1_57660726	M376	1	70.2	57660726
1_58020892	M377	1	70.4	58020892
1_58444510	M378	1	70.6	58444510
1_58840770	M379	1	70.8	58840770
1_59206457	M380	1	71	59206457
1_59645443	M381	1	71.2	59645443
1_60072613	M382	1	71.4	60072613
1_60512531	M383	1	71.6	60512531
1_60950772	M384	1	71.8	60950772
1_61334173	M385	1	72	61334173
1_61710540	M386	1	72.2	61710540
1_62252152	M387	1	72.4	62252152
1_62971371	M388	1	72.6	62971371
1_64385961	M390	1	73	64385961
1_65377739	M391	1	73.2	65377739
1_65855131	M392	1	73.4	65855131
1_66357497	M393	1	73.6	66357497
1_68998108	M398	1	74.6	68998108
1_69388664	M399	1	74.8	69388664
1_69758177	M400	1	75	69758177
1_70128234	M401	1	75.2	70128234
1_70521190	M402	1	75.4	70521190
1_70950535	M403	1	75.6	70950535
1_72044353	M406	1	76.2	72044353
1_72432229	M407	1	76.4	72432229
1_72807191	M408	1	76.6	72807191
1_73287048	M409	1	76.8	73287048
1_73602016	M410	1	77	73602016
1_73984371	M411	1	77.2	73984371
1_74384347	M412	1	77.4	74384347
1_74775342	M413	1	77.6	74775342
1_75144187	M414	1	77.8	75144187
1_75526434	M415	1	78	75526434
1_75887240	M416	1	78.2	75887240
1_76310983	M417	1	78.4	76310983
1_77008269	M419	1	78.8	77008269
1_77391109	M420	1	79	77391109
1_77819923	M421	1	79.2	77819923
1_78193698	M422	1	79.4	78193698
1_78564935	M423	1	79.6	78564935
1_79095829	M424	1	79.8	79095829
1_79738562	M425	1	80	79738562
1_80356254	M426	1	80.2	80356254
1_81715538	M428	1	80.6	81715538
1_82360632	M429	1	80.8	82360632
1_82995515	M430	1	81	82995515
1_83656129	M431	1	81.2	83656129
1_84020241	M432	1	81.4	84020241
1_84380769	M433	1	81.6	84380769
1_84784894	M434	1	81.8	84784894
1_85103248	M435	1	82	85103248
1_85465595	M436	1	82.2	85465595
1_85905576	M437	1	82.4	85905576
1_86332242	M438	1	82.6	86332242
1_86740822	M439	1	82.8	86740822
1_87203182	M440	1	83	87203182
1_87612238	M441	1	83.2	87612238
1_88120882	M442	1	83.4	88120882
1_88538683	M443	1	83.6	88538683
1_88941416	M444	1	83.8	88941416
1_89407448	M445	1	84	89407448
1_89874135	M446	1	84.2	89874135
1_90317602	M447	1	84.4	90317602
1_90650762	M448	1	84.6	90650762
1_91253430	M449	1	84.8	91253430
1_91854164	M450	1	85	91854164
1_92443431	M451	1	85.2	92443431
1_92965007	M452	1	85.4	92965007
1_93560514	M453	1	85.6	93560514
1_94187301	M454	1	85.8	94187301
1_94893216	M455	1	86	94893216
1_95479433	M456	1	86.2	95479433
1_96085191	M457	1	86.4	96085191
1_97210564	M458	1	86.6	97210564
1_98323890	M459	1	86.8	98323890
1_99413055	M460	1	87	99413055
1_102502687	M462	1	87.4	102502687
1_104107835	M463	1	87.6	104107835
1_107130386	M465	1	88	107130386
1_108372732	M466	1	88.2	108372732
1_109910631	M467	1	88.4	109910631
1_113065916	M468	1	88.6	113065916
1_115426747	M469	1	88.8	115426747
1_119583370	M470	1	89	119583370
1_150295266	M472	1	89.4	150295266
1_151264890	M473	1	89.6	151264890
1_152780327	M474	1	89.8	152780327
1_154171191	M475	1	90	154171191
1_155602553	M476	1	90.2	155602553
1_157120659	M477	1	90.4	157120659
1_158557866	M478	1	90.6	158557866
1_160996844	M480	1	91	160996844
1_162457841	M481	1	91.2	162457841
1_164575367	M482	1	91.4	164575367
1_168397284	M484	1	91.8	168397284
1_169036363	M485	1	92	169036363
1_169675075	M486	1	92.2	169675075
1_170314052	M487	1	92.4	170314052
1_170979296	M488	1	92.6	170979296
1_171617941	M489	1	92.8	171617941
1_172284874	M490	1	93	172284874
1_172937631	M491	1	93.2	172937631
1_173547682	M492	1	93.4	173547682
1_174187079	M493	1	93.6	174187079
1_174821308	M494	1	93.8	174821308
1_175441999	M495	1	94	175441999
1_176082485	M496	1	94.2	176082485
1_176706327	M497	1	94.4	176706327
1_177265004	M498	1	94.6	177265004
1_177844225	M499	1	94.8	177844225
1_178404528	M500	1	95	178404528
1_178965086	M501	1	95.2	178965086
1_179530182	M502	1	95.4	179530182
1_180044375	M503	1	95.6	180044375
1_180602500	M504	1	95.8	180602500
1_181144430	M505	1	96	181144430
1_181712460	M506	1	96.2	181712460
1_182189346	M507	1	96.4	182189346
1_182597473	M508	1	96.6	182597473
1_183043608	M509	1	96.8	183043608
1_183434827	M510	1	97	183434827
1_183911728	M511	1	97.2	183911728
1_184340597	M512	1	97.4	184340597
1_184727654	M513	1	97.6	184727654
1_185102242	M514	1	97.8	185102242
1_185467261	M515	1	98	185467261
1_185871700	M516	1	98.2	185871700
1_185917708	M517	1	98.4	185917708
1_185963357	M518	1	98.6	185963357
1_186009368	M519	1	98.8	186009368
1_186055343	M520	1	99	186055343
1_186501378	M521	1	99.2	186501378
1_186777415	M522	1	99.4	186777415
1_187016209	M523	1	99.6	187016209
1_187278084	M524	1	99.8	187278084
1_187509740	M525	1	100	187509740
1_187772186	M526	1	100.2	187772186
1_188034303	M527	1	100.4	188034303
1_188285011	M528	1	100.6	188285011
1_188535932	M529	1	100.8	188535932
1_188784032	M530	1	101	188784032
1_189045730	M531	1	101.2	189045730
1_189302843	M532	1	101.4	189302843
1_189790854	M534	1	101.8	189790854
1_190055481	M535	1	102	190055481
1_190300683	M536	1	102.2	190300683
1_190549173	M537	1	102.4	190549173
1_190673178	M538	1	102.6	190673178
1_191274652	M540	1	103	191274652
1_191505400	M541	1	103.2	191505400
1_191772305	M542	1	103.4	191772305
1_192064456	M543	1	103.6	192064456
1_192295207	M544	1	103.8	192295207
1_192506172	M545	1	104	192506172
1_192783829	M546	1	104.2	192783829
1_193058299	M547	1	104.4	193058299
1_193335328	M548	1	104.6	193335328
1_193581857	M549	1	104.8	193581857
1_193833618	M550	1	105	193833618
1_194088587	M551	1	105.2	194088587
1_194615709	M553	1	105.6	194615709
1_194861878	M554	1	105.8	194861878
1_195183207	M555	1	106	195183207
1_195426781	M556	1	106.2	195426781
1_195674969	M557	1	106.4	195674969
1_195923827	M558	1	106.6	195923827
1_196176327	M559	1	106.8	196176327
1_196427557	M560	1	107	196427557
1_196680820	M561	1	107.2	196680820
1_196935795	M562	1	107.4	196935795
1_197188777	M563	1	107.6	197188777
1_197403771	M564	1	107.8	197403771
1_197670801	M565	1	108	197670801
1_197918042	M566	1	108.2	197918042
1_198120983	M567	1	108.4	198120983
1_198345016	M568	1	108.6	198345016
1_198570420	M569	1	108.8	198570420
1_198998892	M571	1	109.2	198998892
1_199215505	M572	1	109.4	199215505
1_199417431	M573	1	109.6	199417431
1_199609002	M574	1	109.8	199609002
1_199775757	M575	1	110	199775757
1_199956280	M576	1	110.2	199956280
1_200130541	M577	1	110.4	200130541
1_200310706	M578	1	110.6	200310706
1_200492154	M579	1	110.8	200492154
1_200654223	M580	1	111	200654223
1_201019634	M582	1	111.4	201019634
1_201174669	M583	1	111.6	201174669
1_201355832	M584	1	111.8	201355832
1_201573023	M585	1	112	201573023
1_201697958	M586	1	112.2	201697958
1_201871839	M587	1	112.4	201871839
1_202046925	M588	1	112.6	202046925
1_202217215	M589	1	112.8	202217215
1_202387647	M590	1	113	202387647
1_202581882	M591	1	113.2	202581882
1_202746768	M592	1	113.4	202746768
1_202935582	M593	1	113.6	202935582
1_203120627	M594	1	113.8	203120627
1_203264632	M595	1	114	203264632
1_203451635	M596	1	114.2	203451635
1_203645843	M597	1	114.4	203645843
1_203820725	M598	1	114.6	203820725
1_203993652	M599	1	114.8	203993652
1_204339487	M600	1	115	204339487
1_204698294	M601	1	115.2	204698294
1_205079378	M602	1	115.4	205079378
1_205586484	M603	1	115.6	205586484
1_206406252	M605	1	116	206406252
1_207100398	M606	1	116.2	207100398
1_207693489	M607	1	116.4	207693489
1_207917666	M608	1	116.6	207917666
1_208110858	M609	1	116.8	208110858
1_208316849	M610	1	117	208316849
1_208523270	M611	1	117.2	208523270
1_208745046	M612	1	117.4	208745046
1_208944329	M613	1	117.6	208944329
1_209153266	M614	1	117.8	209153266
1_209364818	M615	1	118	209364818
1_209579286	M616	1	118.2	209579286
1_209700086	M617	1	118.4	209700086
1_209979880	M618	1	118.6	209979880
1_210190119	M619	1	118.8	210190119
1_210430533	M620	1	119	210430533
1_210614571	M621	1	119.2	210614571
1_210848075	M622	1	119.4	210848075
1_211157959	M623	1	119.6	211157959
1_211374071	M624	1	119.8	211374071
1_211831367	M626	1	120.2	211831367
1_212058034	M627	1	120.4	212058034
1_212612303	M629	1	120.8	212612303
1_212855272	M630	1	121	212855272
1_213094091	M631	1	121.2	213094091
1_213378460	M632	1	121.4	213378460
1_213593855	M633	1	121.6	213593855
1_213826911	M634	1	121.8	213826911
1_214083696	M635	1	122	214083696
1_214327622	M636	1	122.2	214327622
1_214567222	M637	1	122.4	214567222
1_214806351	M638	1	122.6	214806351
1_215053793	M639	1	122.8	215053793
1_215290788	M640	1	123	215290788
1_215548028	M641	1	123.2	215548028
1_216117383	M644	1	123.8	216117383
1_216285769	M645	1	124	216285769
1_216505392	M646	1	124.2	216505392
1_216785306	M647	1	124.4	216785306
1_217049878	M648	1	124.6	217049878
1_217323612	M649	1	124.8	217323612
1_217603570	M650	1	125	217603570
1_217856675	M651	1	125.2	217856675
1_218113912	M652	1	125.4	218113912
1_218368983	M653	1	125.6	218368983
1_218658238	M654	1	125.8	218658238
1_218909768	M655	1	126	218909768
1_219158198	M656	1	126.2	219158198
1_219420727	M657	1	126.4	219420727
1_219604786	M658	1	126.6	219604786
1_220202926	M660	1	127	220202926
1_220457238	M661	1	127.2	220457238
1_220777808	M662	1	127.4	220777808
1_221276435	M663	1	127.6	221276435
1_221825332	M664	1	127.8	221825332
1_222272907	M665	1	128	222272907
1_222797397	M666	1	128.2	222797397
1_223294836	M667	1	128.4	223294836
1_223804395	M668	1	128.6	223804395
1_224321328	M669	1	128.8	224321328
1_224825115	M670	1	129	224825115
1_225402131	M671	1	129.2	225402131
1_225922813	M672	1	129.4	225922813
1_226427665	M673	1	129.6	226427665
1_226810699	M675	1	130	226810699
1_226935244	M676	1	130.2	226935244
1_227055826	M677	1	130.4	227055826
1_227212699	M678	1	130.6	227212699
1_227333282	M679	1	130.8	227333282
1_227453732	M680	1	131	227453732
1_227573612	M681	1	131.2	227573612
1_227692073	M682	1	131.4	227692073
1_227858415	M683	1	131.6	227858415
1_228020388	M684	1	131.8	228020388
1_228199825	M685	1	132	228199825
1_228355506	M686	1	132.2	228355506
1_228534076	M687	1	132.4	228534076
1_228701784	M688	1	132.6	228701784
1_228998980	M689	1	132.8	228998980
1_229419828	M690	1	133	229419828
1_229766131	M691	1	133.2	229766131
1_230181119	M692	1	133.4	230181119
1_230624508	M693	1	133.6	230624508
1_231050133	M694	1	133.8	231050133
1_231268825	M695	1	134	231268825
1_231486859	M696	1	134.2	231486859
1_231710826	M697	1	134.4	231710826
1_231865879	M698	1	134.6	231865879
1_232021981	M699	1	134.8	232021981
1_232176626	M700	1	135	232176626
1_232456408	M701	1	135.2	232456408
1_232579796	M702	1	135.4	232579796
1_232867298	M703	1	135.6	232867298
1_233138624	M704	1	135.8	233138624
1_233412160	M705	1	136	233412160
1_233667713	M706	1	136.2	233667713
1_233927303	M707	1	136.4	233927303
1_234184955	M708	1	136.6	234184955
1_234469630	M709	1	136.8	234469630
1_234741832	M710	1	137	234741832
1_234965022	M711	1	137.2	234965022
1_235321033	M712	1	137.4	235321033
1_235809622	M713	1	137.6	235809622
1_236322631	M714	1	137.8	236322631
1_236840069	M715	1	138	236840069
1_237366578	M716	1	138.2	237366578
1_237883269	M717	1	138.4	237883269
1_238188092	M718	1	138.6	238188092
1_238718230	M719	1	138.8	238718230
1_239257518	M720	1	139	239257518
1_239783178	M721	1	139.2	239783178
1_240266156	M722	1	139.4	240266156
1_240733673	M723	1	139.6	240733673
1_241385432	M724	1	139.8	241385432
1_241912366	M725	1	140	241912366
1_242263736	M726	1	140.2	242263736
1_242946324	M728	1	140.6	242946324
1_243280568	M729	1	140.8	243280568
1_243647574	M730	1	141	243647574
1_243992235	M731	1	141.2	243992235
1_244340362	M732	1	141.4	244340362
1_244686343	M733	1	141.6	244686343
1_245138870	M734	1	141.8	245138870
1_245548509	M735	1	142	245548509
1_245992069	M736	1	142.2	245992069
1_246317249	M737	1	142.4	246317249
1_246731867	M738	1	142.6	246731867
1_247140767	M739	1	142.8	247140767
1_247536419	M740	1	143	247536419
1_247935675	M741	1	143.2	247935675
1_249474858	M745	1	144	249474858
1_249881889	M746	1	144.2	249881889
1_250281647	M747	1	144.4	250281647
1_251453932	M749	1	144.8	251453932
1_252558149	M752	1	145.4	252558149
1_252841068	M753	1	145.6	252841068
1_253271548	M754	1	145.8	253271548
1_254683547	M756	1	146.2	254683547
1_255274947	M757	1	146.4	255274947
1_255558935	M758	1	146.6	255558935
1_256192600	M760	1	147	256192600
1_256486612	M761	1	147.2	256486612
1_256801462	M762	1	147.4	256801462
1_257088483	M763	1	147.6	257088483
1_257265642	M764	1	147.8	257265642
1_257333397	M765	1	148	257333397
1_257657139	M766	1	148.2	257657139
1_257731066	M770	1	149	257731066
1_257797454	M771	1	149.2	257797454
1_257865353	M772	1	149.4	257865353
1_258045260	M773	1	149.6	258045260
1_258315965	M774	1	149.8	258315965
1_258582991	M775	1	150	258582991
1_259095681	M776	1	150.2	259095681
1_259312853	M777	1	150.4	259312853
1_259635820	M778	1	150.6	259635820
1_259906710	M779	1	150.8	259906710
1_260183279	M780	1	151	260183279
1_260483615	M781	1	151.2	260483615
1_260794734	M782	1	151.4	260794734
1_261052751	M783	1	151.6	261052751
1_261077385	M784	1	151.8	261077385
1_261438003	M785	1	152	261438003
1_261791682	M786	1	152.2	261791682
1_262026152	M787	1	152.4	262026152
1_262263503	M788	1	152.6	262263503
1_262499941	M789	1	152.8	262499941
1_262707292	M790	1	153	262707292
1_262992047	M791	1	153.2	262992047
1_263187246	M793	1	153.6	263187246
1_263279254	M794	1	153.8	263279254
1_263375013	M795	1	154	263375013
1_263465340	M796	1	154.2	263465340
1_263581661	M797	1	154.4	263581661
1_263672418	M798	1	154.6	263672418
1_263761884	M799	1	154.8	263761884
1_263865180	M800	1	155	263865180
1_263955428	M801	1	155.2	263955428
1_264054045	M802	1	155.4	264054045
1_264460806	M803	1	155.6	264460806
1_264726784	M804	1	155.8	264726784
1_265159371	M805	1	156	265159371
1_266974887	M807	1	156.4	266974887
1_267202641	M808	1	156.6	267202641
1_267430316	M809	1	156.8	267430316
1_267651768	M810	1	157	267651768
1_267900239	M811	1	157.2	267900239
1_268074970	M812	1	157.4	268074970
1_268574248	M813	1	157.6	268574248
1_268822578	M814	1	157.8	268822578
1_269086622	M815	1	158	269086622
1_269304074	M816	1	158.2	269304074
1_269560170	M817	1	158.4	269560170
1_269814028	M818	1	158.6	269814028
1_270051847	M819	1	158.8	270051847
1_270316588	M820	1	159	270316588
1_270570957	M821	1	159.2	270570957
1_270830359	M822	1	159.4	270830359
1_271092775	M823	1	159.6	271092775
1_272084766	M827	1	160.4	272084766
1_272342373	M828	1	160.6	272342373
1_272607336	M829	1	160.8	272607336
1_272868195	M830	1	161	272868195
1_273048923	M831	1	161.2	273048923
1_273296322	M832	1	161.4	273296322
1_273544854	M833	1	161.6	273544854
1_273786188	M834	1	161.8	273786188
1_274079030	M835	1	162	274079030
1_274615938	M836	1	162.2	274615938
1_275184885	M837	1	162.4	275184885
1_275689562	M838	1	162.6	275689562
1_275957831	M839	1	162.8	275957831
1_276218152	M840	1	163	276218152
1_276496052	M841	1	163.2	276496052
