"ID"	"RI_ACCESSION"	"popN"	"family"	"ind"	"lane"	"pop_fam_ind"	"library_ID"	"platform"	"instrument_model"	"fastq1"	"fastq2"
"HILO28"	"RIMME0027"	27	"P"	"xi"	1	"RIMME0027_P_xi"	"HILO28_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO28_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO28_2.fq.gz"
"HILO29"	"RIMME0027"	27	"D"	"xi"	1	"RIMME0027_D_xi"	"HILO29_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO29_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO29_2.fq.gz"
"HILO33"	"RIMME0024"	24	"G"	"xi"	1	"RIMME0024_G_xi"	"HILO33_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO33_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO33_2.fq.gz"
"HILO34"	"RIMME0035"	35	"D"	"xi"	1	"RIMME0035_D_xi"	"HILO34_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO34_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO34_2.fq.gz"
"HILO37"	"RIMMA0367"	367	"F"	"xi"	1	"RIMMA0367_F_xi"	"HILO37_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO37_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO37_2.fq.gz"
"HILO38"	"RIMME0028"	28	"K"	"xi"	1	"RIMME0028_K_xi"	"HILO38_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO38_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO38_2.fq.gz"
"HILO39"	"RIMME0030"	30	"B"	"xi"	1	"RIMME0030_B_xi"	"HILO39_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO39_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO39_2.fq.gz"
"HILO40"	"RIMME0018"	18	"H"	"xi"	1	"RIMME0018_H_xi"	"HILO40_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO40_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO40_2.fq.gz"
"HILO41"	"RIMME0026"	26	"L"	"xi"	2	"RIMME0026_L_xi"	"HILO41_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO41_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO41_2.fq.gz"
"HILO42"	"RIMMA0370"	370	"D"	"xi"	2	"RIMMA0370_D_xi"	"HILO42_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO42_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO42_2.fq.gz"
"HILO43"	"RIMME0024"	24	"B"	"xi"	2	"RIMME0024_B_xi"	"HILO43_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO43_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO43_2.fq.gz"
"HILO44"	"RIMMA0369"	369	"A"	"xi"	2	"RIMMA0369_A_xi"	"HILO44_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO44_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO44_2.fq.gz"
"HILO45"	"RIMME0035"	35	"E"	"xi"	2	"RIMME0035_E_xi"	"HILO45_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO45_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO45_2.fq.gz"
"HILO46"	"RIMMA0370"	370	"G"	"xi"	2	"RIMMA0370_G_xi"	"HILO46_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO46_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO46_2.fq.gz"
"HILO47"	"RIMME0019"	19	"A"	"xi"	2	"RIMME0019_A_xi"	"HILO47_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO47_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO47_2.fq.gz"
"HILO48"	"RIMME0028"	28	"J"	"xi"	2	"RIMME0028_J_xi"	"HILO48_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO48_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO48_2.fq.gz"
"HILO50"	"RIMMA0360"	360	"E"	"xi"	2	"RIMMA0360_E_xi"	"HILO50_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO50_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO50_2.fq.gz"
"HILO51"	"RIMME0018"	18	"C"	"xi"	2	"RIMME0018_C_xi"	"HILO51_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO51_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO51_2.fq.gz"
"HILO52"	"RIMME0025"	25	"E"	"xi"	2	"RIMME0025_E_xi"	"HILO52_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO52_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO52_2.fq.gz"
"HILO53"	"RIMME0018"	18	"E"	"xi"	2	"RIMME0018_E_xi"	"HILO53_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO53_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO53_2.fq.gz"
"HILO54"	"RIMME0018"	18	"D"	"xi"	2	"RIMME0018_D_xi"	"HILO54_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO54_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO54_2.fq.gz"
"HILO55"	"RIMME0030"	30	"A"	"xi"	2	"RIMME0030_A_xi"	"HILO55_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO55_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO55_2.fq.gz"
"HILO56"	"RIMME0030"	30	"E"	"xi"	2	"RIMME0030_E_xi"	"HILO56_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO56_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO56_2.fq.gz"
"HILO58"	"RIMME0025"	25	"C"	"xi"	2	"RIMME0025_C_xi"	"HILO58_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO58_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO58_2.fq.gz"
"HILO59"	"RIMME0026"	26	"M"	"xi"	2	"RIMME0026_M_xi"	"HILO59_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO59_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO59_2.fq.gz"
"HILO60"	"RIMME0031"	31	"D"	"xi"	2	"RIMME0031_D_xi"	"HILO60_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO60_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO60_2.fq.gz"
"HILO61"	"RIMME0025"	25	"B"	"xi"	2	"RIMME0025_B_xi"	"HILO61_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO61_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO61_2.fq.gz"
"HILO65"	"RIMME0024"	24	"D"	"xi"	2	"RIMME0024_D_xi"	"HILO65_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO65_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO65_2.fq.gz"
"HILO67"	"RIMME0018"	18	"B"	"xi"	2	"RIMME0018_B_xi"	"HILO67_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO67_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO67_2.fq.gz"
"HILO71"	"RIMME0031"	31	"O"	"xi"	2	"RIMME0031_O_xi"	"HILO71_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO71_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO71_2.fq.gz"
"HILO73"	"RIMME0019"	19	"G"	"xi"	2	"RIMME0019_G_xi"	"HILO73_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO73_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO73_2.fq.gz"
"HILO76"	"RIMMA0367"	367	"H"	"xi"	2	"RIMMA0367_H_xi"	"HILO76_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO76_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO76_2.fq.gz"
"HILO78"	"RIMMA0366"	366	"J"	"xi"	2	"RIMMA0366_J_xi"	"HILO78_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO78_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO78_2.fq.gz"
"HILO79"	"RIMME0019"	19	"H"	"xi"	2	"RIMME0019_H_xi"	"HILO79_L002"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO79_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO79_2.fq.gz"
"HILO82"	"RIMME0025"	25	"I"	"xi"	3	"RIMME0025_I_xi"	"HILO82_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO82_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO82_2.fq.gz"
"HILO83"	"RIMME0031"	31	"J"	"xi"	3	"RIMME0031_J_xi"	"HILO83_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO83_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO83_2.fq.gz"
"HILO85"	"RIMMA0374"	374	"G"	"xi"	3	"RIMMA0374_G_xi"	"HILO85_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO85_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO85_2.fq.gz"
"HILO85"	"RIMMA0374"	374	"G"	"xi"	8	"RIMMA0374_G_xi"	"HILO85_L008"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/Jan2019_8/HILO85_1.fq.gz"	"data/HILO_raw_reads/Jan2019_8/HILO85_2.fq.gz"
"HILO86"	"RIMME0019"	19	"I"	"xi"	3	"RIMME0019_I_xi"	"HILO86_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO86_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO86_2.fq.gz"
"HILO87"	"RIMMA0370"	370	"J"	"xi"	3	"RIMMA0370_J_xi"	"HILO87_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO87_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO87_2.fq.gz"
"HILO88"	"RIMME0024"	24	"I"	"xi"	3	"RIMME0024_I_xi"	"HILO88_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO88_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO88_2.fq.gz"
"HILO89"	"RIMMA0361"	361	"G"	"xi"	3	"RIMMA0361_G_xi"	"HILO89_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO89_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO89_2.fq.gz"
"HILO90"	"RIMMA0369"	369	"C"	"xi"	3	"RIMMA0369_C_xi"	"HILO90_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO90_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO90_2.fq.gz"
"HILO91"	"RIMMA0370"	370	"E"	"xi"	3	"RIMMA0370_E_xi"	"HILO91_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO91_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO91_2.fq.gz"
"HILO93"	"RIMMA0361"	361	"I"	"xi"	3	"RIMMA0361_I_xi"	"HILO93_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO93_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO93_2.fq.gz"
"HILO94"	"RIMME0030"	30	"M"	"xi"	3	"RIMME0030_M_xi"	"HILO94_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO94_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO94_2.fq.gz"
"HILO95"	"RIMMA0366"	366	"D"	"xi"	3	"RIMMA0366_D_xi"	"HILO95_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO95_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO95_2.fq.gz"
"HILO96"	"RIMME0026"	26	"H"	"xi"	3	"RIMME0026_H_xi"	"HILO96_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO96_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO96_2.fq.gz"
"HILO97"	"RIMME0018"	18	"G"	"xi"	3	"RIMME0018_G_xi"	"HILO97_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO97_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO97_2.fq.gz"
"HILO98"	"RIMME0028"	28	"N"	"xi"	3	"RIMME0028_N_xi"	"HILO98_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO98_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO98_2.fq.gz"
"HILO101"	"RIMMA0367"	367	"B"	"xi"	3	"RIMMA0367_B_xi"	"HILO101_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO101_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO101_2.fq.gz"
"HILO102"	"RIMME0035"	35	"J"	"xi"	3	"RIMME0035_J_xi"	"HILO102_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO102_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO102_2.fq.gz"
"HILO103"	"RIMME0027"	27	"A"	"xi"	3	"RIMME0027_A_xi"	"HILO103_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO103_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO103_2.fq.gz"
"HILO104"	"RIMME0028"	28	"I"	"xi"	3	"RIMME0028_I_xi"	"HILO104_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO104_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO104_2.fq.gz"
"HILO105"	"RIMME0035"	35	"K"	"xi"	3	"RIMME0035_K_xi"	"HILO105_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO105_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO105_2.fq.gz"
"HILO106"	"RIMME0024"	24	"E"	"xi"	3	"RIMME0024_E_xi"	"HILO106_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO106_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO106_2.fq.gz"
"HILO107"	"RIMME0025"	25	"F"	"xi"	3	"RIMME0025_F_xi"	"HILO107_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO107_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO107_2.fq.gz"
"HILO109"	"RIMMA0366"	366	"H"	"xi"	3	"RIMMA0366_H_xi"	"HILO109_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO109_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO109_2.fq.gz"
"HILO110"	"RIMME0024"	24	"F"	"xi"	3	"RIMME0024_F_xi"	"HILO110_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO110_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO110_2.fq.gz"
"HILO111"	"RIMME0035"	35	"I"	"xi"	3	"RIMME0035_I_xi"	"HILO111_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO111_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO111_2.fq.gz"
"HILO113"	"RIMME0028"	28	"M"	"xi"	3	"RIMME0028_M_xi"	"HILO113_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO113_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO113_2.fq.gz"
"HILO114"	"RIMMA0367"	367	"C"	"xi"	3	"RIMMA0367_C_xi"	"HILO114_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO114_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO114_2.fq.gz"
"HILO116"	"RIMME0035"	35	"B"	"xi"	3	"RIMME0035_B_xi"	"HILO116_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO116_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO116_2.fq.gz"
"HILO117"	"RIMMA0365"	365	"D"	"xi"	3	"RIMMA0365_D_xi"	"HILO117_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO117_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO117_2.fq.gz"
"HILO118"	"RIMME0026"	26	"J"	"xi"	3	"RIMME0026_J_xi"	"HILO118_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO118_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO118_2.fq.gz"
"HILO119"	"RIMMA0370"	370	"H"	"xi"	3	"RIMMA0370_H_xi"	"HILO119_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO119_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO119_2.fq.gz"
"HILO120"	"RIMME0023"	23	"E"	"xi"	3	"RIMME0023_E_xi"	"HILO120_L003"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO120_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO120_2.fq.gz"
"HILO121"	"RIMMA0368"	368	"I"	"xi"	4	"RIMMA0368_I_xi"	"HILO121_L004"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO121_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO121_2.fq.gz"
"HILO122"	"RIMME0027"	27	"H"	"xi"	4	"RIMME0027_H_xi"	"HILO122_L004"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO122_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO122_2.fq.gz"
"HILO124"	"RIMME0030"	30	"C"	"xi"	4	"RIMME0030_C_xi"	"HILO124_L004"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO124_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO124_2.fq.gz"
"HILO125"	"RIMMA0361"	361	"C"	"x"	4	"RIMMA0361_C_x"	"HILO125_L004"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO125_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO125_2.fq.gz"
"HILO127"	"RIMMA0369"	369	"F"	"xi"	4	"RIMMA0369_F_xi"	"HILO127_L004"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO127_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO127_2.fq.gz"
"HILO128"	"RIMME0023"	23	"B"	"xi"	4	"RIMME0023_B_xi"	"HILO128_L004"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO128_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO128_2.fq.gz"
"HILO129"	"RIMME0027"	27	"N"	"xi"	4	"RIMME0027_N_xi"	"HILO129_L004"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO129_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO129_2.fq.gz"
