 RI_ACCESSION , GENUS        , SPECIES      , ACP          , ACNO         , ACCID        , GEOCTY       , GEOSTA       , LAT          , LON          , ACELLO       , LOCALITY     , PEDIGREE     , SAMPSTAT     , SOURCE       , KERNELS      , NOTES        , FLAG         ,,,,,,,,,
RIHY0012,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Carlson,,"For more info, see \ \ http://www.agron.missouri.edu/mnl/63/195carlson.html\ http://www.agron.missouri.edu/mnl/69/152carlson.html\ http://www.agron.missouri.edu/mnl/63/194carlson.html\ \ 75% Z. dip. \ \ UMN \ 1997",,,,,,,,,,

RIHY0013,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Carlson,,"For more info, see \ \ http://www.agron.missouri.edu/mnl/63/195carlson.html\ http://www.agron.missouri.edu/mnl/69/152carlson.html\ http://www.agron.missouri.edu/mnl/63/194carlson.html\ \ 20 selfed \ [A632(A632 X Las Joyas C)]\ 2000\ ",,,,,,,,,,

RIHY0014,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Carlson,,"For more info, see \ \ http://www.agron.missouri.edu/mnl/63/195carlson.html\ http://www.agron.missouri.edu/mnl/69/152carlson.html\ http://www.agron.missouri.edu/mnl/63/194carlson.html\ \ 21 selfed\ [A619(A619 X Las Joyas C)]\ \2 other ears flint kernels white cobs 2000",,,,,,,,,,

RIHY0015,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Carlson,,"For more info, see \ \ http://www.agron.missouri.edu/mnl/63/195carlson.html\ http://www.agron.missouri.edu/mnl/69/152carlson.html\ http://www.agron.missouri.edu/mnl/63/194carlson.html\ \ 72 selfed\ 17LD\ MN hybrid x Z. dip. \ 1997",,,,,,,,,,

RIHY0016,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Carlson,,"For more info, see \ \ http://www.agron.missouri.edu/mnl/63/195carlson.html\ http://www.agron.missouri.edu/mnl/69/152carlson.html\ http://www.agron.missouri.edu/mnl/63/194carlson.html\ \ 48 selfed\ 194 LD\ \B73\"" X \""...\"" \ 6 of 6 plants bloomed in MN 2002",,,,,,,,,,

RIHY0017,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Carlson,,"For more info, see \ \ http://www.agron.missouri.edu/mnl/63/195carlson.html\ http://www.agron.missouri.edu/mnl/69/152carlson.html\ http://www.agron.missouri.edu/mnl/63/194carlson.html\ \ 22 selfed\ [Oh43(Oh43 X Las Joyas C)]\ 2000\ ",,,,,,,,,,

RIHY0018,Zea,hybrid,,,,,,,,,,ssp. mays x ssp. parviglumis,,Doebley,,Packet 16612\ B73 x TIL11,S9\ Seed StockL D6GH,94,1XTIP,535,,,,,,

RIHY0019,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Dawe,~30,"B73 x KD3595 diploperennis PI462368, received from K. Dawe on June 8, 2018",,,,,,,,,,

RIHY0020,Zea,hybrid,,,,,,,,,,ssp. mays x ssp. mexicana,,Flint-Garcia,10,"B73 x PI566680, 07PR2041-06, received from S. Flint-Garcia on June 27, 2018",,,,,,,,,,

RIHY0021,Zea,hybrid,,,,,,,,,,ssp. mays x ssp. mexicana,,Flint-Garcia,10,"B73 x PI566681, 07PR1001-03, received from S. Flint-Garcia on June 27, 2018",,,,,,,,,,

RIHY0022,Zea,hybrid,,,,,,,,,,ssp. mays x ssp. mexicana,,Flint-Garcia,10,"B73 x PI566682, 07PR1001-08, received from S. Flint-Garcia on June 27, 2018",,,,,,,,,,

RIIR,Ischaemum,rugosum,KEW,183574,,,,,,,,,,,,,,,,,,,,,,

RIISB0014,Sorghum,bicolor subsp. bicolor,PI,,,,,,,,,,,,,,,,,,,,,,,

RIL0001,Zea,luxurians,PI,441933,336869,Guatemala,Jutiapa,14.35,,89.85,1050,1.2 km north of El Progreso on road to Jalapa. Maize fields  gully  and hedgerows.,,Wild,USDA,,,,,,,,,,,

RIL0002,Zea,luxurians,,,,Guatemala,,,,,,,,CIMMYT,,TL92B,,,,,,,,,,

RIL0003,Zea,luxurians,PI,422162,494175,Mexico,,,,,Chapingo,,Wild,Dawe,,Generation 2S from Iowa PI 422162; single seed descent selfed 2008; selfed 2009,,,,,,,,,,

RIMHU0001,Zea,mays subsp. huehuetenangensis,PI,441934,336870,Guatemala,Huehuetenango,15.65,,91.767,1350,,,,,,,,,,,,,,,

RIMMA0001,Zea,mays subsp. mays,Ames,19288,82709,,,,,,,,Breeder's line,USDA,,Oh43,,,,,,,,,,

RIMMA0002,Zea,mays subsp. mays,Ames,19323,82776,,,,,,,,Breeder's line,USDA,,Oh7B,,,,,,,,,,

RIMMA0003,Zea,mays subsp. mays,Ames,19327,82780,,,,,,,,Breeder's line,USDA,,Tx303,,,,,,,,,,

RIMMA0004,Zea,mays subsp. mays,Ames,27081,645471,,,,,,,Population 44: P 44C4HC101,3,#1,1,B,### .  Population 44 is also named (AED) Tuxpeno and its compnents are AED and Tuxpe?o components.  AED (American Early Dent) was Boone County White from North,Carolina  before it was brought to Egypt in 1920.  The other component is an early cycle of short plant selections from Tuxpeno,1,Breeder's line,USDA,,CML103,,,

RIMMA0005,Zea,mays subsp. mays,Ames,27088,645477,,,,,,,EV88SUWAN1,SR(BC5),201,1,1,b,b,Breeder's line,USDA,,CML228,,,,

RIMMA0006,Zea,mays subsp. mays,Ames,27096,645484,,,,,,,Recy W.: 89[L/LMBR]17,B,5,3,1,4,B*4,Breeder's line,USDA,,CML322,,,,

RIMMA0007,Zea,mays subsp. mays,Ames,27101,645586,,,,,,,Population 590: P 590C3F373,1,1,7,B,#,5,2,B,#,B,Breeder's line,USDA,,CML333

RIMMA0008,Zea,mays subsp. mays,Ames,27118,645502,,,,,,,,Breeder's line,USDA,,IL14H,,,,,,,,,,

RIMMA0009,Zea,mays subsp. mays,Ames,27123,645580,,,,,,,Suwan 1(S)C4,S8,5,3 (2007),Breeder's line,USDA,,Ki3,,,,,,,

RIMMA0010,Zea,mays subsp. mays,Ames,27124,645506,,,,,,,Suwan 1(S)C4,S8,18,7 (2025),Breeder's line,USDA,,Ki11,,,,,,,

RIMMA0011,Zea,mays subsp. mays,Ames,27130,645512,,,,,,,,Breeder's line,USDA,,Ky21,,,,,,,,,,

RIMMA0012,Zea,mays subsp. mays,Ames,27133,645514,,,,,,,,Breeder's line,USDA,,M37W,,,,,,,,,,

RIMMA0013,Zea,mays subsp. mays,Ames,27134,645515,,,,,,,,Breeder's line,USDA,,M162W,,,,,,,,,,

RIMMA0014,Zea,mays subsp. mays,Ames,27171,645548,,,,,,,Derived from an experimental line sharing the same pedigree of NC296 with an experimental line from the hybrid H101 from El Salvador,Breeder's line,USDA,,NC350,,,,,,,,,,

RIMMA0015,Zea,mays subsp. mays,Ames,27175,645552,,,,,,,Recurrent selection from an all,tropical hybrid synthetic TROPHY,Breeder's line,USDA,,NC358,,,,,,,,,

RIMMA0016,Zea,mays subsp. mays,Ames,28184,699966,,,,,,,Population 36: P 36C5F37,2,1,1,b1#b1,b1#b1,b1 .  Population 36 is also named Cogollero and it is a Caribbean composite involving 165 accessions from all the Caribbean islands. About 50 families from the Insect Disease Resistance Nursery (IDRN) population  20 families from Pool 22  and 26 families from Pool 26.,Breeder's line,USDA,,CML69,,,,

RIMMA0017,Zea,mays subsp. mays,PI,506246,401182,,,,,,,TZB/TZSR,Breeder's line,USDA,,Tzi8,,,,,,,,,,

RIMMA0018,Zea,mays subsp. mays,PI,550441,445377,,,,,,,WF9/Mo22,Breeder's line,USDA,,Mo18W,,,,,,,,,,

RIMMA0019,Zea,mays subsp. mays,PI,550473,445409,,,,,,,Selected from advanced recurrent selection population (C5) of Iowa Stiff Stalk Synthetic (BSSS).,Breeder's line,USDA,,B73,,,,,,,,,,

RIMMA0020,Zea,mays subsp. mays,PI,564682,459653,,,,,,,Iowa Corn Borer Synthetic No. 1 [BSCB1(R)C9],2,Breeder's line,USDA,,B97,,,,,,,,,

RIMMA0021,Zea,mays subsp. mays,PI,587131,84096,,,,,,,,Breeder's line,USDA,,HP301\ ,,,,,,,,,,

RIMMA0022,Zea,mays subsp. mays,PI,587137,82773,,,,,,,,Breeder's line,USDA,,MS71,,,,,,,,,,

RIMMA0023,Zea,mays subsp. mays,PI,595541,525934,,,,,,,Pool 24: (Pool 24 FS119*FS54),6,4,1,1,BB,f .  Pool 24 is also named Tropical late white dent (TLWD) and its components are mainly Tuxpeno materials from Mexico and late maturity materials from Central America.,Breeder's line,USDA,,CML247,,,,

RIMMA0024,Zea,mays subsp. mays,PI,595550,525948,,,,,,,Population 43: Ferke 8243,51,1,1,B,##,1,BB,# .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines.,Breeder's line,USDA,,CML277,,

RIMMA0025,Zea,mays subsp. mays,PI,595561,525986,,,,,,,Population 79: Sta.Rosa 8079,22,2,2,##,Breeder's line,USDA,,CML52,,,,,,

RIMMA0026,Zea,mays subsp. mays,PI,620781,42603,Mexico,Coahuila,28.5,,100.933,250,Zaragoza.,,Traditional cultivar/landrace,USDA,,Palomero,,,,,,,,,

RIMMA0027,Zea,mays subsp. mays,PI,629124,73261,Mexico,Campeche,20.3167,,90.0167,30,Calkini.,,Traditional cultivar/landrace,USDA,,Dzit Bacal,,,,,,,,,

RIMMA0028,Zea,mays subsp. mays,PI,645866,83081,Mexico,Mexico,19.8,,99.8667,2600,El Potrero  Atlacomulco.,,Traditional cultivar/landrace,USDA,,Palomero,,,,,,,,,

RIMMA0029,Zea,mays subsp. mays,Ames,28186,699968,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0030,Zea,mays subsp. mays,Ames,19962,83844,Mexico,Mexico,19.2667,,100.183,2100,1 km northeast of St. Cuitlapaltepec  Santiago Cuitlapaltepec  Municipio of Donato Guerra.,,Traditional cultivar/landrace,USDA,,Palomero Toluquâo,,,,,,,,,

RIMMA0030,Zea,mays subsp. mays,Ames,19962,83844,Mexico,Mexico,19.2667,,100.183,2100,1 km northeast of St. Cuitlapaltepec  Santiago Cuitlapaltepec  Municipio of Donato Guerra.,,Traditional cultivar/landrace,USDA,,Palomero Toluqu?o,,,,,,,,,

RIMMA0031,Zea,mays subsp. mays,NSL,2824,22072,,,,,,,,Traditional cultivar/landrace,USDA,,Palomero Toluquâo,,,,,,,,,,

RIMMA0031,Zea,mays subsp. mays,NSL,2824,22072,,,,,,,,Traditional cultivar/landrace,USDA,,Palomero Toluqu?o,,,,,,,,,,

RIMMA0032,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,103,bulk self stock me MR01 (Araguito) S6 packet 27503,,,,,,,,

RIMMA0033,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 08S,N001,bulk self stock me MR02 (Assiniboine) packet 26400,,,,,,,,

RIMMA0034,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,105,bulk self stock me MR03 (Bolita) S6 packet 27504,,,,,,,,

RIMMA0035,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,CONTAMINATED DURING INBREEDING. S5 HAD 10% HETEROZYGOSITY.  seed lot 09W,107,bulk self stock me MR04 (Canilla) S6 packet 27505,,,,,,,,

RIMMA0036,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,109,bulk self stock me MR05 (Cateto) S6 packet 27506,,,,,,,,

RIMMA0037,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,111,bulk self stock me MR06 (Chapalote) S6 packet 27507,,,,,,,,

RIMMA0038,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,113,bulk self stock me MR07 (Comiteco) S6 packet 27508,,,,,,,,

RIMMA0039,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,115,bulk self stock me MR08 (Costeno) S6 packet 27509,,,,,,,,

RIMMA0040,Zea,mays subsp. mays,,,,Brazil,,,,,,,,Doebley,,seed lot 09W,116,bulk self stock me MR09 (Cravo Riogranense) S6 packet 27510,,,,,,,,

RIMMA0041,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,118,bulk self stock me MR10 (Cristalino Norteno) S6 packet 27511,,,,,,,,

RIMMA0042,Zea,mays subsp. mays,,,,Cuba,,,,,,,,Doebley,,seed lot 09W,120,bulk self stock me MR11 (Cuban Flint) S6 packet 27512,,,,,,,,

RIMMA0043,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 08S,N002,bulk self stock me MR12 (Havasupai) packet 26401,,,,,,,,

RIMMA0044,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 08S,N004,bulk self stock me MR13 (Hickory King) packet 26402,,,,,,,,

RIMMA0045,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 08S,N005,bulk self stock me MR14 (Longfellow Flint) packet 26403,,,,,,,,

RIMMA0046,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,CONTAMINATED DURING INBREEDING.  S5 was ~84% HOMOZYGOUS. seed lot 09W,122,bulk self stock me MR15 (Palomero de Jalisco) S6 packet 27513,,,,,,,,

RIMMA0047,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,CONTAMINATED DURING INBREEDING. S6 HAD >10% HETEROZYGOSITY.  seed lot 09W,124,bulk self stock me MR16 (Pepetilla) S7 packet 27514.,,,,,,,,

RIMMA0048,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,128,bulk self stock me MR18 (Reventador) S6 packet 27515,,,,,,,,

RIMMA0049,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 08S,N006,bulk self stock me MR19 (Santo Domingo) packet 26404,,,,,,,,

RIMMA0050,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,130,bulk self stock me MR20 (Shoe Peg) S7 packet 27516,,,,,,,,

RIMMA0051,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,132,bulk self stock me MR21 (Tabloncillo) S6 packet 27517,,,,,,,,

RIMMA0052,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,134,bulk self stock me MR22 (Tuxpeno) S6 packet 27518,,,,,,,,

RIMMA0053,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,136,bulk self stock me MR23 (Zapalote Chico) S6 packet 27519,,,,,,,,

RIMMA0054,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,140,bulk self stock me MR25 (Poropo) S5 packet 27521,,,,,,,,

RIMMA0055,Zea,mays subsp. mays,,,,,,,,,,,,Doebley,,seed lot 09W,644,bulk self stock me MR26 (Pollo)  S5 packet 27526,,,,,,,,

RIMMA0056,Zea,mays subsp. mays,PI,558532,453504,,,,,,,CI 187,2/C103,Breeder's line,USDA,,,,,,,,,,,

RIMMA0057,Zea,mays subsp. mays,MGS,25795,8288,,,,,,,,Breeder's line,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0058,Zea,mays subsp. mays,,,,,,,,,,,,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0059,Zea,mays subsp. mays,MGS,14780,8253,,,,,,,,Breeder's line,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0060,Zea,mays subsp. mays,MGS,14128,4606,,,,,,,,Breeder's line,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0061,Zea,mays subsp. mays,MGS,14646,8901,,,,,,,,Breeder's line,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0062,Zea,mays subsp. mays,MGS,96977,8913,,,,,,,,Breeder's line,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0063,Zea,mays subsp. mays,MGS,109599,511313,,,,,,,,Breeder's line,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0064,Zea,mays subsp. mays,MGS,142656,618015,,,,,,,,Breeder's line,Stock Center,,possible centromere variant?,,,,,,,,,,

RIMMA0065,Zea,mays subsp. mays,Ames,3004,22863,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0066,Zea,mays subsp. mays,Ames,4327,27700,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0067,Zea,mays subsp. mays,Ames,4328,27703,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0068,Zea,mays subsp. mays,Ames,4329,27709,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0069,Zea,mays subsp. mays,Ames,19002,82222,,,,,,,WF9 x T8,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0070,Zea,mays subsp. mays,Ames,19016,82250,,,,,,,(C103 x T82)(K4 x C1032),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0071,Zea,mays subsp. mays,Ames,19284,82701,,,,,,,Lancaster Surecrop (from Noah Hershey),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0072,Zea,mays subsp. mays,Ames,19288,82709,,,,,,,,Breeder's line,USDA,,identical to RIMMA001,,,,,,,,,,

RIMMA0073,Zea,mays subsp. mays,Ames,19293,82719,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0074,Zea,mays subsp. mays,Ames,19308,82753,,,,,,,[(Mt42 X B14) B14 self B14(2)],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0075,Zea,mays subsp. mays,Ames,19309,82757,,,,,,,[(ND302 X B14) B14(2)],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0076,Zea,mays subsp. mays,Ames,19311,82761,,,,,,,ND203 X B14,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0077,Zea,mays subsp. mays,Ames,19313,82765,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0078,Zea,mays subsp. mays,Ames,19319,82771,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0079,Zea,mays subsp. mays,Ames,19321,82774,,,,,,,Stiff Stalk Synthetic 1,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0080,Zea,mays subsp. mays,Ames,20140,84249,,,,,,,Minnesota #13 (Owen's Strain),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0081,Zea,mays subsp. mays,Ames,20190,84398,,,,,,,KE 3,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0082,Zea,mays subsp. mays,Ames,21512,86562,,,,,,,Midland Yellow Dent,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0083,Zea,mays subsp. mays,Ames,21970,87388,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0084,Zea,mays subsp. mays,Ames,22439,489083,,,,,,,G3 x AR9,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0085,Zea,mays subsp. mays,Ames,22443,489206,,,,,,,4,29(Silver King) x 46(N.W. Dent)4^4,Breeder's line,USDA,,,,,,,,,,,

RIMMA0086,Zea,mays subsp. mays,Ames,22748,517103,,,,,,,N28 X H91,Advanced cultivar,USDA,,,,,,,,,,,,

RIMMA0087,Zea,mays subsp. mays,Ames,22754,517109,,,,,,,Pride of Saline,Advanced cultivar,USDA,,,,,,,,,,,,

RIMMA0088,Zea,mays subsp. mays,Ames,22756,517121,,,,,,,OS 426,5,2,4,4,2,4,1,3,3,1.  Osterland Yellow Dent.,Breeder's line,USDA,,

RIMMA0089,Zea,mays subsp. mays,Ames,23392,534889,,,,,,,64 X 15,28,Breeder's line,USDA,,,,,,,,,,,

RIMMA0090,Zea,mays subsp. mays,Ames,23423,535048,,,,,,,Golden King (McArthur),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0091,Zea,mays subsp. mays,Ames,23424,535049,,,,,,,4,29 X 64,Breeder's line,USDA,,,,,,,,,,,

RIMMA0092,Zea,mays subsp. mays,Ames,23427,535110,,,,,,,Reid Yellow Dent (selected from Holbert a line self ~S8),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0093,Zea,mays subsp. mays,Ames,23428,535124,,,,,,,Reid Yellow Dent (selected from Holbert a line self ~S8),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0094,Zea,mays subsp. mays,Ames,23447,535323,,,,,,,A78 X A109,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0095,Zea,mays subsp. mays,Ames,23450,535336,,,,,,,B164,886 X A237,Breeder's line,USDA,,,,,,,,,,,

RIMMA0096,Zea,mays subsp. mays,Ames,23476,535387,,,,,,,[(V3 X Wf9) S1 Wf9],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0097,Zea,mays subsp. mays,Ames,23488,535416,,,,,,,[(Mt42 X B14) S1 B14],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0098,Zea,mays subsp. mays,Ames,23508,535500,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0099,Zea,mays subsp. mays,Ames,23509,535501,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0100,Zea,mays subsp. mays,Ames,23518,535510,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0101,Zea,mays subsp. mays,Ames,23519,535511,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0102,Zea,mays subsp. mays,Ames,23922,547592,,,,,,,[(Oh51 X Oh17)Oh51],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0103,Zea,mays subsp. mays,Ames,24589,559778,,,,,,,Iodent,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0104,Zea,mays subsp. mays,Ames,24590,559779,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0105,Zea,mays subsp. mays,Ames,24712,557010,,,,,,,A619 X R168,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0106,Zea,mays subsp. mays,Ames,24752,557043,,,,,,,[(Golden Glow X Maize Amargo) X Golden Glow],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0107,Zea,mays subsp. mays,Ames,26021,597264,,,,,,,Palin Reid,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0108,Zea,mays subsp. mays,Ames,26022,597265,,,,,,,Reid Yellow Dent (Troyer strain),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0109,Zea,mays subsp. mays,Ames,26604,631443,,,,,,,Outcross in line from 176A.,Breeder's line,USDA,,,,,,,,,,,,

