number_within_pop	RI_ACCESSION	zea	symp_allo	old_ID	LOCALITY	est_coverage	popN	family	under0.5x	notes	got_seed	Library fail	Exclude-repeat
8	RIMMA0370	maize	sympatric	HILO75	Puruandiro	0.3128	370	B1	TRUE		1		
9	RIMMA0370	maize	sympatric	HILO244	Puruandiro	0	370	C1	TRUE		1		
10	RIMMA0370	maize	sympatric	HILO36	Puruandiro	0.4984	370	I1	TRUE		1		
1	RIMMA0371	maize	sympatric	HILO188	Ixtlan	1.0665	371	B	FALSE		0		
2	RIMMA0371	maize	sympatric	HILO218	Ixtlan	2.0853	371	C	FALSE		0		
3	RIMMA0371	maize	sympatric	HILO154	Ixtlan	0.6831	371	D	FALSE		0		
4	RIMMA0371	maize	sympatric	HILO195	Ixtlan	1.0478	371	E	FALSE		0		
5	RIMMA0371	maize	sympatric	HILO170	Ixtlan	0.9124	371	F	FALSE		0		
6	RIMMA0371	maize	sympatric	HILO206	Ixtlan	0.8758	371	G	FALSE		0		
7	RIMMA0371	maize	sympatric	HILO162	Ixtlan	1.1671	371	I	FALSE		0		
8	RIMMA0371	maize	sympatric	NA	Ixtlan	0	371	A	NA		1		
9	RIMMA0371	maize	sympatric	NA	Ixtlan	0	371	H	NA		1		
1	RIMMA0372	maize	sympatric	HILO17	San Pedro	0.7945	372	B1	FALSE		0		
2	RIMMA0372	maize	sympatric	HILO233	San Pedro	0	372	A2	TRUE		1		
3	RIMMA0372	maize	sympatric	HILO57	San Pedro	0.263	372	C1	TRUE		1		
4	RIMMA0372	maize	sympatric	HILO11	San Pedro	0.0948	372	D1	TRUE		1	T	
5	RIMMA0372	maize	sympatric	HILO32	San Pedro	0.2689	372	E2	TRUE		1		
6	RIMMA0372	maize	sympatric	HILO26	San Pedro	0.2072	372	G1	TRUE		1		
7	RIMMA0372	maize	sympatric	NA	San Pedro	0	372	F	NA		1		
1	RIMMA0373	maize	sympatric	HILO131	Tenango del Aire	0.7107	373	B1	FALSE		0		
2	RIMMA0373	maize	sympatric	HILO92	Tenango del Aire	0.466	373	A1	TRUE		1		
3	RIMMA0373	maize	sympatric	HILO69	Tenango del Aire	0.1193	373	C1	TRUE		1		
4	RIMMA0373	maize	sympatric	HILO246	Tenango del Aire	0	373	D1	TRUE		1		
5	RIMMA0373	maize	sympatric	HILO84	Tenango del Aire	0.1881	373	E1	TRUE		1		
6	RIMMA0373	maize	sympatric	HILO240	Tenango del Aire	0	373	F2	TRUE		1		
7	RIMMA0373	maize	sympatric	HILO266	Tenango del Aire	0	373	G1	TRUE		1		
8	RIMMA0373	maize	sympatric	NA	Tenango del Aire	0	373	H	NA		1		
1	RIMMA0374	maize	sympatric	HILO16	Xochimilco	0.5071	374	D1	FALSE		0		
2	RIMMA0374	maize	sympatric	HILO137	Xochimilco	0.8779	374	H2	FALSE		0		
3	RIMMA0374	maize	sympatric	HILO21	Xochimilco	1.6088	374	J1	FALSE		0		
4	RIMMA0374	maize	sympatric	HILO77	Xochimilco	0.349	374	A1	TRUE		1		
5	RIMMA0374	maize	sympatric	HILO248	Xochimilco	0	374	B1	TRUE		1		
6	RIMMA0374	maize	sympatric	HILO30	Xochimilco	0.0024	374	C1	TRUE		1		
7	RIMMA0374	maize	sympatric	HILO70	Xochimilco	0.2886	374	E2	TRUE		1		
8	RIMMA0374	maize	sympatric	HILO64	Xochimilco	0.3777	374	F1	TRUE		1		
9	RIMMA0374	maize	sympatric	HILO85	Xochimilco	0.0891	374	G2	TRUE		1	T	
10	RIMMA0374	maize	sympatric	HILO253	Xochimilco	0	374	I1	TRUE		1		
1	RIMME0018	mexicana	sympatric	HILO51	Nabogame	0.8668	18	C1	FALSE		0		
2	RIMME0018	mexicana	sympatric	HILO97	Nabogame	0.7405	18	G1	FALSE		0		
3	RIMME0018	mexicana	sympatric	HILO40	Nabogame	0.5812	18	H1	FALSE		0		
4	RIMME0018	mexicana	sympatric	HILO13	Nabogame	0.1411	18	A1	TRUE		0		
5	RIMME0018	mexicana	sympatric	HILO67	Nabogame	0.2963	18	B1	TRUE		0		
6	RIMME0018	mexicana	sympatric	HILO54	Nabogame	0.1929	18	D1	TRUE		0		
7	RIMME0018	mexicana	sympatric	HILO53	Nabogame	0.2086	18	E1	TRUE		0		
8	RIMME0018	mexicana	sympatric	HILO140	Nabogame	0.1032	18	F1	TRUE		0		
9	RIMME0018	mexicana	sympatric	HILO80	Nabogame	0	18	I1	TRUE		1		
10	RIMME0018	mexicana	sympatric	HILO274	Nabogame	0	18	J1	TRUE		0		T
11	RIMME0018	mexicana	sympatric	NA	Nabogame	0	18	J2	NA		1	T	
12	RIMME0018	mexicana	sympatric	NA	Nabogame	0	18	K1	NA		1		
13	RIMME0018	mexicana	sympatric	NA	Nabogame	0	18	N2	NA		1		
14	RIMME0018	mexicana	sympatric	NA	Nabogame	0	18	O2	NA		1		
15	RIMME0018	mexicana	sympatric	NA	Nabogame	0	18	M1	NA		1		
16	RIMME0018	mexicana	sympatric	NA	Nabogame	0	18	L1	NA		1		
1	RIMME0019	mexicana	sympatric	HILO20	Penjamillo	0.6699	19	D1	FALSE		0		
2	RIMME0019	mexicana	sympatric	HILO86	Penjamillo	0.5481	19	I1	FALSE		0		
3	RIMME0019	mexicana	sympatric	HILO47	Penjamillo	0.1441	19	A1	TRUE		0		
4	RIMME0019	mexicana	sympatric	HILO242	Penjamillo	0	19	B1	TRUE		0		
5	RIMME0019	mexicana	sympatric	HILO123	Penjamillo	0.421	19	C1	TRUE	only sequence if other plants in pop fail to grow	1		
6	RIMME0019	mexicana	sympatric	HILO252	Penjamillo	0	19	E1	TRUE		1		
7	RIMME0019	mexicana	sympatric	HILO73	Penjamillo	0.3947	19	G1	TRUE		0		
8	RIMME0019	mexicana	sympatric	HILO79	Penjamillo	0.4258	19	H1	TRUE		0		
9	RIMME0019	mexicana	sympatric	NA	Penjamillo	0	19	J	NA		1		
10	RIMME0019	mexicana	sympatric	NA	Penjamillo	0	19	K	NA		1		
11	RIMME0019	mexicana	sympatric	NA	Penjamillo	0	19	M	NA		1		
12	RIMME0019	mexicana	sympatric	NA	Penjamillo	0	19	N	NA		1		
13	RIMME0019	mexicana	sympatric	NA	Penjamillo	0	19	O	NA		1		
14	RIMME0019	mexicana	sympatric	NA	Penjamillo	0	19	F	NA	only 1 seed	1		
15	RIMME0019	mexicana	sympatric	NA	Penjamillo	0	19	L	NA	only 1 seed	1		
1	RIMME0020	mexicana	allopatric	HILO197	Malinalco	0.6837	20	C 	FALSE		0		
2	RIMME0020	mexicana	allopatric	HILO217	Malinalco	0.6738	20	D	FALSE		0		
3	RIMME0020	mexicana	allopatric	HILO157	Malinalco	0.952	20	H	FALSE		0		
4	RIMME0020	mexicana	allopatric	HILO164	Malinalco	0.416	20	A	TRUE		0		
5	RIMME0020	mexicana	allopatric	HILO208	Malinalco	0.2355	20	F	TRUE		0		
6	RIMME0020	mexicana	allopatric	HILO166	Malinalco	0.0827	20	G	TRUE		1	T	
7	RIMME0020	mexicana	allopatric	HILO186	Malinalco	0.1604	20	I	TRUE		1		
8	RIMME0020	mexicana	allopatric	HILO146	Malinalco	0.4819	20	J	TRUE		0		
9	RIMME0020	mexicana	allopatric	HILO150	Malinalco	2.00E-04	20	K	TRUE		1		
10	RIMME0020	mexicana	allopatric	HILO191	Malinalco	0.4588	20	L	TRUE		0		
11	RIMME0020	mexicana	allopatric	HILO202	Malinalco	0.4494	20	M	TRUE		0		
12	RIMME0020	mexicana	allopatric	HILO198	Malinalco	0.0051	20	N	TRUE		1		
13	RIMME0020	mexicana	allopatric	HILO181	Malinalco	0.4435	20	O	TRUE		0		
14	RIMME0020	mexicana	allopatric	HILO205	Malinalco	0.002	20	P	TRUE		1		
15	RIMME0020	mexicana	allopatric	HILO214	Malinalco	0.0261	20	Q	TRUE		1		
16	RIMME0020	mexicana	allopatric	NA	Malinalco	0	20	E	NA		1		
17	RIMME0020	mexicana	allopatric	NA	Malinalco	0	20	B	NA		1		
1	RIMME0021	mexicana	sympatric	HILO148	El Porvenir	0.5427	21	B	FALSE		0		
2	RIMME0021	mexicana	sympatric	HILO194	El Porvenir	0.5306	21	C	FALSE		0		
3	RIMME0021	mexicana	sympatric	HILO161	El Porvenir	0.7248	21	D	FALSE		0		
4	RIMME0021	mexicana	sympatric	HILO183	El Porvenir	0.9102	21	F	FALSE		0		
5	RIMME0021	mexicana	sympatric	HILO207	El Porvenir	1.807	21	H	FALSE		0		
6	RIMME0021	mexicana	sympatric	HILO155	El Porvenir	0.5653	21	I	FALSE		0		
7	RIMME0021	mexicana	sympatric	HILO149	El Porvenir	0.3365	21	G	TRUE		0		
8	RIMME0021	mexicana	sympatric	HILO190	El Porvenir	0.0101	21	P	TRUE		0		
9	RIMME0021	mexicana	sympatric	HILO156	El Porvenir	0.2991	21	Q	TRUE	says 'hybrid' on seed packet	0		
10	RIMME0021	mexicana	sympatric	NA	El Porvenir	0	21	M	NA		1		
11	RIMME0021	mexicana	sympatric	NA	El Porvenir	0	21	E	NA		1		
12	RIMME0021	mexicana	sympatric	NA	El Porvenir	0	21	J	NA		1		
13	RIMME0021	mexicana	sympatric	NA	El Porvenir	0	21	K	NA		1		
1	RIMME0022	mexicana	allopatric	HILO158	Amecameca	0.9814	22	B	FALSE		0		
2	RIMME0022	mexicana	allopatric	HILO151	Amecameca	1.5027	22	C	FALSE		0		
3	RIMME0022	mexicana	allopatric	HILO160	Amecameca	1.1431	22	J	FALSE		0		
4	RIMME0022	mexicana	allopatric	HILO199	Amecameca	0.7184	22	L	FALSE		0		
5	RIMME0022	mexicana	allopatric	HILO210	Amecameca	0.3405	22	E	TRUE		0		
6	RIMME0022	mexicana	allopatric	HILO145	Amecameca	0.1284	22	H	TRUE		1		
7	RIMME0022	mexicana	allopatric	HILO178	Amecameca	0.2849	22	K	TRUE		1		
8	RIMME0022	mexicana	allopatric	HILO174	Amecameca	0.4932	22	M	TRUE		0		
9	RIMME0022	mexicana	allopatric	HILO204	Amecameca	0.2861	22	N	TRUE		1		
10	RIMME0022	mexicana	allopatric	HILO153	Amecameca	0.3123	22	P	TRUE		0		
11	RIMME0022	mexicana	allopatric	NA	Amecameca	0	22	O	NA		1		
12	RIMME0022	mexicana	allopatric	NA	Amecameca	0	22	F	NA		1		
13	RIMME0022	mexicana	allopatric	NA	Amecameca	0	22	A	NA		1		
14	RIMME0022	mexicana	allopatric	NA	Amecameca	0	22	I	NA		1		
15	RIMME0022	mexicana	allopatric	NA	Amecameca	0	22	G	NA		1		
16	RIMME0022	mexicana	allopatric	NA	Amecameca	0	22	D	NA		1		
1	RIMME0023	mexicana	sympatric	HILO141	Tlapala	0.9843	23	H1	FALSE		0		
2	RIMME0023	mexicana	sympatric	HILO128	Tlapala	0.4998	23	B1	TRUE		0		
3	RIMME0023	mexicana	sympatric	HILO136	Tlapala	0.3426	23	D1	TRUE		1		
4	RIMME0023	mexicana	sympatric	HILO120	Tlapala	0.4055	23	E1	TRUE		0		
5	RIMME0023	mexicana	sympatric	HILO227	Tlapala	0	23	F1	TRUE		1		
6	RIMME0023	mexicana	sympatric	HILO249	Tlapala	0	23	G1	TRUE		1		
7	RIMME0023	mexicana	sympatric	HILO68	Tlapala	0.2868	23	I1	TRUE		1		
8	RIMME0023	mexicana	sympatric	HILO108	Tlapala	0.0055	23	J1	TRUE		1		
9	RIMME0023	mexicana	sympatric	HILO267	Tlapala	0	23	K1	TRUE		1		
10	RIMME0023	mexicana	sympatric	NA	Tlapala	0	23	L	NA		1		
11	RIMME0023	mexicana	sympatric	NA	Tlapala	0	23	A	NA		1		
12	RIMME0023	mexicana	sympatric	NA	Tlapala	0	23	C	NA		1		
1	RIMME0024	mexicana	sympatric	HILO43	Jicaltepec	1.4851	24	B1	FALSE		0		
2	RIMME0024	mexicana	sympatric	HILO65	Jicaltepec	0.5086	24	D1	FALSE		0		
3	RIMME0024	mexicana	sympatric	HILO110	Jicaltepec	0.5771	24	F1	FALSE		0		
4	RIMME0024	mexicana	sympatric	HILO221	Jicaltepec	0	24	A1	TRUE		1		
5	RIMME0024	mexicana	sympatric	HILO232	Jicaltepec	0	24	C1	TRUE		1		
6	RIMME0024	mexicana	sympatric	HILO106	Jicaltepec	0.3013	24	E1	TRUE		0		
7	RIMME0024	mexicana	sympatric	HILO33	Jicaltepec	0.1012	24	G1	TRUE		0		
8	RIMME0024	mexicana	sympatric	HILO271	Jicaltepec	0	24	G2	TRUE		0		T
9	RIMME0024	mexicana	sympatric	HILO226	Jicaltepec	0	24	H1	TRUE		0		
10	RIMME0024	mexicana	sympatric	HILO88	Jicaltepec	0.4678	24	I1	TRUE		0		
11	RIMME0024	mexicana	sympatric	HILO269	Jicaltepec	0	24	J1	TRUE		0		
12	RIMME0024	mexicana	sympatric	NA	Jicaltepec	0	24	K	NA		1		
13	RIMME0024	mexicana	sympatric	NA	Jicaltepec	0	24	L	NA		1		
14	RIMME0024	mexicana	sympatric	NA	Jicaltepec	0	24	M	NA		1		
15	RIMME0024	mexicana	sympatric	NA	Jicaltepec	0	24	N	NA		1		
16	RIMME0024	mexicana	sympatric	NA	Jicaltepec	0	24	O	NA		1		
1	RIMME0025	mexicana	sympatric	HILO133	Cocotilan	1.0144	25	A1	FALSE		0		
2	RIMME0025	mexicana	sympatric	HILO82	Cocotilan	0.5148	25	I1	FALSE		0		
3	RIMME0025	mexicana	sympatric	HILO61	Cocotilan	0.4247	25	B1	TRUE		0		
4	RIMME0025	mexicana	sympatric	HILO58	Cocotilan	0.2617	25	C1	TRUE		0		
5	RIMME0025	mexicana	sympatric	HILO222	Cocotilan	0	25	D1	TRUE		1		
6	RIMME0025	mexicana	sympatric	HILO52	Cocotilan	0.2044	25	E1	TRUE		0		
7	RIMME0025	mexicana	sympatric	HILO107	Cocotilan	0.4299	25	F1	TRUE		0		
8	RIMME0025	mexicana	sympatric	HILO7	Cocotilan	0.2053	25	G1	TRUE		0		
9	RIMME0025	mexicana	sympatric	HILO260	Cocotilan	0	25	J1	TRUE		1		
10	RIMME0025	mexicana	sympatric	NA	Cocotilan	0	25	K	NA		1		
11	RIMME0025	mexicana	sympatric	NA	Cocotilan	0	25	H	NA		1		
12	RIMME0025	mexicana	sympatric	NA	Cocotilan	0	25	N	NA		1		
13	RIMME0025	mexicana	sympatric	NA	Cocotilan	0	25	L	NA		1		
14	RIMME0025	mexicana	sympatric	NA	Cocotilan	0	25	M	NA		1		
15	RIMME0025	mexicana	sympatric	NA	Cocotilan	0	25	O	NA		1		
1	RIMME0026	mexicana	sympatric	HILO118	Opopeo	0.5216	26	J1	FALSE		0		
2	RIMME0026	mexicana	sympatric	HILO41	Opopeo	1.7846	26	L1	FALSE		0		
3	RIMME0026	mexicana	sympatric	HILO276	Opopeo	0	26	C1	TRUE		0		
4	RIMME0026	mexicana	sympatric	HILO258	Opopeo	0	26	D1	TRUE		1		
5	RIMME0026	mexicana	sympatric	HILO268	Opopeo	0	26	F1	TRUE		1		
6	RIMME0026	mexicana	sympatric	HILO96	Opopeo	0.4691	26	H1	TRUE		0		
7	RIMME0026	mexicana	sympatric	HILO272	Opopeo	0	26	K1	TRUE		1		
8	RIMME0026	mexicana	sympatric	HILO59	Opopeo	0.1753	26	M1	TRUE		0		
9	RIMME0026	mexicana	sympatric	HILO256	Opopeo	0	26	N1	TRUE		1		
10	RIMME0026	mexicana	sympatric	NA	Opopeo	0	26	O	NA		1		
11	RIMME0026	mexicana	sympatric	NA	Opopeo	0	26	E	NA		1		
12	RIMME0026	mexicana	sympatric	NA	Opopeo	0	26	I	NA		1		
13	RIMME0026	mexicana	sympatric	NA	Opopeo	0	26	G	NA		1		
1	RIMME0027	mexicana	sympatric	HILO103	Amatlan	0.7284	27	A1	FALSE		0		
2	RIMME0027	mexicana	sympatric	HILO142	Amatlan	0.667	27	C1	FALSE		0		
3	RIMME0027	mexicana	sympatric	HILO29	Amatlan	1.2137	27	D1	FALSE		0		
4	RIMME0027	mexicana	sympatric	HILO27	Amatlan	0.7719	27	E2	FALSE		0		
5	RIMME0027	mexicana	sympatric	HILO122	Amatlan	0.5154	27	H1	FALSE		0		
6	RIMME0027	mexicana	sympatric	HILO18	Amatlan	1.1331	27	I2	FALSE		0		
7	RIMME0027	mexicana	sympatric	HILO12	Amatlan	0.6981	27	L1	FALSE		0		
8	RIMME0027	mexicana	sympatric	HILO28	Amatlan	0.6438	27	P1	FALSE		0		
9	RIMME0027	mexicana	sympatric	HILO263	Amatlan	0	27	B1	TRUE		0		
10	RIMME0027	mexicana	sympatric	HILO129	Amatlan	0.3657	27	N1	TRUE		0		
11	RIMME0027	mexicana	sympatric	NA	Amatlan	0	27	O	NA		1		
12	RIMME0027	mexicana	sympatric	NA	Amatlan	0	27	M	NA		1		
1	RIMME0028	mexicana	sympatric	HILO104	Puruandiro	0.536	28	I1	FALSE		0		
2	RIMME0028	mexicana	sympatric	HILO48	Puruandiro	0.5333	28	J1	FALSE		0		
3	RIMME0028	mexicana	sympatric	HILO113	Puruandiro	0.8307	28	M1	FALSE		0		
4	RIMME0028	mexicana	sympatric	HILO15	Puruandiro	0.3617	28	H1	TRUE		0		
5	RIMME0028	mexicana	sympatric	HILO38	Puruandiro	0.4415	28	K2	TRUE		0		
6	RIMME0028	mexicana	sympatric	HILO257	Puruandiro	0	28	L1	TRUE		0		
7	RIMME0028	mexicana	sympatric	HILO98	Puruandiro	0.3607	28	N1	TRUE		0		
8	RIMME0028	mexicana	sympatric	NA	Puruandiro	0	28	E	NA		1		
9	RIMME0028	mexicana	sympatric	NA	Puruandiro	0	28	G	NA		1		
10	RIMME0028	mexicana	sympatric	NA	Puruandiro	0	28	F	NA		1		
11	RIMME0028	mexicana	sympatric	NA	Puruandiro	0	28	C	NA		1		
12	RIMME0028	mexicana	sympatric	NA	Puruandiro	0	28	O	NA		1		
13	RIMME0028	mexicana	sympatric	NA	Puruandiro	0	28	B	NA		1		
14	RIMME0028	mexicana	sympatric	NA	Puruandiro	0	28	D	NA		1		
1	RIMME0029	mexicana	sympatric	HILO189	Ixtlan	0.7843	29	C	FALSE		0		
2	RIMME0029	mexicana	sympatric	HILO163	Ixtlan	0.7227	29	K	FALSE		0		
3	RIMME0029	mexicana	sympatric	HILO176	Ixtlan	0.8015	29	R	FALSE		0		
4	RIMME0029	mexicana	sympatric	HILO182	Ixtlan	0.4574	29	D	TRUE		0		
5	RIMME0029	mexicana	sympatric	HILO147	Ixtlan	0.3666	29	F	TRUE		0		
6	RIMME0029	mexicana	sympatric	HILO211	Ixtlan	0.1061	29	H	TRUE		0		
